Value,Points,Category,Year,,,,,,,
1202,8,K,,,,,,,,
1079,7,K,,,,,,,,
1077,6,K,,,,,,,,
1057,5,K,,,,,,,,
1009,4,K,,,,,,,,
887,3,K,,,,,,,,
792,2,K,,,,,,,,
763,1,K,,,,,,,,
1519,18,K,,,,,,,,
1500,17,K,,,,,,,,
1473,16,K,,,,,,,,
1461,15,K,,,,,,,,
1419,14,K,,,,,,,,
1401,13,K,,,,,,,,
1381,12,K,,,,,,,,
1360,11,K,,,,,,,,
1285,10,K,,,,,,,,
1280,9,K,,,,,,,,
1218,8,K,,,,,,,,
1173,7,K,,,,,,,,
1145,6,K,,,,,,,,
1016,5,K,,,,,,,,
942,4,K,,,,,,,,
711,3,K,,,,,,,,
649,2,K,,,,,,,,
625,1,K,,,,,,,,
148,18,SV,,,,,,,,
121,17,SV,,,,,,,,
103,16,SV,,,,,,,,
87,15,SV,,,,,,,,
85,14,SV,,,,,,,,
82,13,SV,,,,,,,,
77,12,SV,,,,,,,,
69,11,SV,,,,,,,,
58,10,SV,,,,,,,,
52,9,SV,,,,,,,,
43,8,SV,,,,,,,,
38,7,SV,,,,,,,,
34,6,SV,,,,,,,,
31,5,SV,,,,,,,,
21,4,SV,,,,,,,,
13,3,SV,,,,,,,,
8,2,SV,,,,,,,,
5,1,SV,,,,,,,,
115,18,SV,,,,,,,,
100,17,SV,,,,,,,,
92,15.5,SV,,,,,,,,
92,15.5,SV,,,,,,,,
91,14,SV,,,,,,,,
78,13,SV,,,,,,,,
69,12,SV,,,,,,,,
67,11,SV,,,,,,,,
66,9.5,SV,,,,,,,,
66,9.5,SV,,,,,,,,
61,8,SV,,,,,,,,
60,7,SV,,,,,,,,
54,6,SV,,,,,,,,
36,5,SV,,,,,,,,
23,4,SV,,,,,,,,
18,3,SV,,,,,,,,
9,2,SV,,,,,,,,
8,1,SV,,,,,,,,
163,18,SV,,,,,,,,
105,17,SV,,,,,,,,
87,16,SV,,,,,,,,
78,15,SV,,,,,,,,
76,14,SV,,,,,,,,
75,13,SV,,,,,,,,
71,12,SV,,,,,,,,
70,11,SV,,,,,,,,
59,10,SV,,,,,,,,
49,9,SV,,,,,,,,
48,8,SV,,,,,,,,
43,7,SV,,,,,,,,
42,6,SV,,,,,,,,
34,4.5,SV,,,,,,,,
34,4.5,SV,,,,,,,,
29,3,SV,,,,,,,,
24,2,SV,,,,,,,,
23,1,SV,,,,,,,,
115,18,W,,,,,,,,
115,18,W,,,,,,,,
114,17,W,,,,,,,,
112,17,W,,,,,,,,
110,16,W,,,,,,,,
108,17.5,W,,,,,,,,
108,17.5,W,,,,,,,,
106,16,W,,,,,,,,
106,14,W,,,,,,,,
106,14,W,,,,,,,,
106,14,W,,,,,,,,
103,15.5,W,,,,,,,,
103,15.5,W,,,,,,,,
101,12,W,,,,,,,,
99,13.5,W,,,,,,,,
99,13.5,W,,,,,,,,
99,15,W,,,,,,,,
98,14,W,,,,,,,,
98,11,W,,,,,,,,
95,12,W,,,,,,,,
93,13,W,,,,,,,,
93,10,W,,,,,,,,
92,11.5,W,,,,,,,,
92,11.5,W,,,,,,,,
91,9,W,,,,,,,,
89,10,W,,,,,,,,
89,10,W,,,,,,,,
89,10,W,,,,,,,,
89,9.5,W,,,,,,,,
89,9.5,W,,,,,,,,
87,8,W,,,,,,,,
87,8,W,,,,,,,,
86,7,W,,,,,,,,
86,7,W,,,,,,,,
83,6,W,,,,,,,,
80,5,W,,,,,,,,
80,7.5,W,,,,,,,,
80,7.5,W,,,,,,,,
80,6,W,,,,,,,,
79,3.5,W,,,,,,,,
79,3.5,W,,,,,,,,
76,6,W,,,,,,,,
75,2,W,,,,,,,,
75,5,W,,,,,,,,
71,1,W,,,,,,,,
71,4,W,,,,,,,,
70,5,W,,,,,,,,
63,3,W,,,,,,,,
63,4,W,,,,,,,,
60,2,W,,,,,,,,
56,3,W,,,,,,,,
52,1,W,,,,,,,,
38,2,W,,,,,,,,
26,1,W,,,,,,,,
1.2034,18,WHIP,,,,,,,,
1.2054,17,WHIP,,,,,,,,
1.2082,16,WHIP,,,,,,,,
1.2345,15,WHIP,,,,,,,,
1.2504,14,WHIP,,,,,,,,
1.2689,13,WHIP,,,,,,,,
1.2809,12,WHIP,,,,,,,,
1.2865,11,WHIP,,,,,,,,
1.3051,10,WHIP,,,,,,,,
1.3204,9,WHIP,,,,,,,,
1.3236,8,WHIP,,,,,,,,
1.3251,7,WHIP,,,,,,,,
1.3315,6,WHIP,,,,,,,,
1.341,5,WHIP,,,,,,,,
1.3413,4,WHIP,,,,,,,,
1.3662,3,WHIP,,,,,,,,
1.4211,2,WHIP,,,,,,,,
1.4268,1,WHIP,,,,,,,,
1.1624,18,WHIP,,,,,,,,
1.1806,17,WHIP,,,,,,,,
