"Name","Team","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Roman Quinn","Phillies","20","19","5","1","0","0","2","2","1","4","0","1","1"," ",".245",".297",".360",".656",".288"," ","79","0.0","0.0"," ","-0.5","0.1","0.0","sa597773"
"Jean Segura","Brewers","517","484","127","19","5","7","50","44","21","74","5","20","9"," ",".263",".297",".365",".663",".288"," ","76","1.0","-0.7"," ","-13.6","5.3","0.8","5933"
"Alex Blandino","Reds","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".238",".292",".362",".654",".287"," ","76","0.0","0.0"," ","0.0","0.0","0.0","sa602521"
"Gavin Cecchini","Mets","14","12","3","1","0","0","1","1","1","2","0","0","0"," ",".248",".302",".349",".651",".287"," ","84","0.0","0.0"," ","-0.3","0.2","0.0","sa657876"
"JaCoby Jones","Tigers","7","6","1","0","0","0","1","1","0","2","0","0","0"," ",".238",".284",".374",".657",".287"," ","78","0.0","0.0"," ","-0.2","0.1","0.0","sa549406"
"Nolan Fontana","Astros","20","17","4","1","0","0","2","1","3","5","0","0","0"," ",".218",".321",".307",".629",".286"," ","78","0.0","0.0"," ","-0.5","0.1","0.0","sa657932"
"Antonio Lamas"," ","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".250",".292",".360",".652",".286"," ","78","0.0","0.0"," ","0.0","0.0","0.0","sa502224"
"Doug Bernier","Twins","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".251",".310",".333",".643",".286"," ","77","0.0","0.0"," ","0.0","0.0","0.0","4518"
"Josh Horton","Orioles","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".252",".292",".360",".652",".286"," ","75","0.0","0.0"," ","0.0","0.0","0.0","sa390360"
"Ruben Tejada","Mets","152","134","33","7","0","1","13","12","13","25","2","1","1"," ",".247",".321",".327",".648",".285"," ","83","0.0","-0.9"," ","-3.0","1.0","0.3","5519"
"Alen Hanson","Pirates","53","49","12","2","1","1","5","5","3","10","0","2","1"," ",".249",".289",".366",".654",".285"," ","81","-0.1","0.0"," ","-1.2","0.3","0.1","sa547735"
"Chad Pinder","Athletics","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".247",".284",".369",".654",".285"," ","80","0.0","0.0"," ","0.0","0.0","0.0","sa708990"
"Adeiny Hechavarria","Marlins","509","472","123","20","6","4","41","44","27","78","2","6","4"," ",".261",".301",".354",".655",".284"," ","77","-1.1","-1.1"," ","-14.9","5.2","0.7","10459"
"Derek Jeter","Yankees","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".260",".306",".335",".641",".284"," ","76","0.0","0.0"," ","0.0","0.0","0.0","826"
"Freddy Galvis","Phillies","414","384","94","16","4","7","34","38","22","74","2","4","3"," ",".246",".288",".364",".652",".284"," ","76","0.4","-0.7"," ","-11.1","3.5","0.6","6609"
"Tim Anderson","White Sox","207","195","50","8","2","3","20","20","7","49","2","10","5"," ",".258",".288",".363",".652",".284"," ","75","0.2","0.0"," ","-5.7","2.5","0.4","sa737508"
"Chris Owings","Diamondbacks","513","479","119","24","4","8","45","49","24","110","3","13","6"," ",".249",".286",".369",".655",".284"," ","72","0.8","-0.5"," ","-15.8","2.3","0.3","10030"
