"Name","Team","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Bobby Coyle","Dodgers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".234",".273",".368",".641",".279"," ","77","0.0","0.0"," ","0.0","0.0","0.0","sa388372"
"Michael Gonzales","Twins","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".227",".280",".355",".635",".279"," ","72","0.0","0.0"," ","0.0","0.0","0.0","sa455046"
"Ryan Doumit","Braves","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".226",".278",".362",".639",".278"," ","74","0.0","0.0"," ","0.0","0.0","0.0","2113"
"Mike Ohlman","Cardinals","6","6","1","0","0","0","1","1","0","1","0","0","0"," ",".233",".293",".336",".629",".278"," ","74","0.0","0.0"," ","-0.2","0.1","0.0","sa501614"
"Clint Coulter","Brewers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".217",".277",".356",".633",".278"," ","69","0.0","0.0"," ","0.0","0.0","0.0","sa657922"
"Ryon Healy","Athletics","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".250",".280",".357",".637",".277"," ","75","0.0","0.0"," ","0.0","0.0","0.0","sa621493"
"Blake Barber","Marlins","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".239",".276",".359",".635",".277"," ","71","0.0","0.0"," ","0.0","0.0","0.0","sa659318"
"Saul Soto"," ","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".214",".295",".324",".619",".276"," ","71","0.0","0.0"," ","0.0","0.0","0.0","sa211076"
"Tim Roberson","Red Sox","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".238",".277",".350",".627",".274"," ","65","0.0","0.0"," ","0.0","0.0","0.0","sa546786"
"Fernando Valenzuela Jr."," ","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".245",".284",".344",".627",".274"," ","70","0.0","0.0"," ","0.0","0.0","0.0","sa225728"
"Stephen Mcquail","Diamondbacks","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".219",".264",".364",".628",".273"," ","65","0.0","0.0"," ","0.0","0.0","0.0","sa549303"
"Jake Schrader","Braves","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".225",".261",".367",".629",".273"," ","70","0.0","0.0"," ","0.0","0.0","0.0","sa707778"
"Sean Buckley","Reds","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".227",".270",".352",".622",".272"," ","66","0.0","0.0"," ","0.0","0.0","0.0","sa455548"
"Ryan Mathews","Athletics","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".226",".270",".353",".623",".272"," ","71","0.0","0.0"," ","0.0","0.0","0.0","sa658637"
"Aaron Miller","Dodgers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".215",".270",".344",".614",".269"," ","70","0.0","0.0"," ","0.0","0.0","0.0","sa327134"
"Luis Garcia"," ","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".212",".277",".330",".607",".269"," ","66","0.0","0.0"," ","0.0","0.0","0.0","sa205818"
"Jose Amador"," ","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".220",".278",".328",".606",".268"," ","66","0.0","0.0"," ","0.0","0.0","0.0","sa509117"
"Alex Monsalve","Indians","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".231",".274",".334",".608",".267"," ","66","0.0","0.0"," ","0.0","0.0","0.0","sa505988"
"Chris Wallace","Indians","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".220",".271",".336",".607",".267"," ","66","0.0","0.0"," ","0.0","0.0","0.0","sa526346"
"Mitch Garver","Twins","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".220",".285",".312",".597",".267"," ","64","0.0","0.0"," ","0.0","0.0","0.0","sa578988"
"Art Charles","Phillies","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".203",".264",".350",".614",".267"," ","64","0.0","0.0"," ","0.0","0.0","0.0","sa503326"
"Dennis Raben","Angels","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".212",".261",".350",".611",".266"," ","70","0.0","0.0"," ","0.0","0.0","0.0","sa454440"
"Julio Morban","Mariners","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".221",".273",".331",".604",".265"," ","67","0.0","0.0"," ","0.0","0.0","0.0","sa503304"
"Brett Booth","Astros","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".216",".267",".334",".601",".264"," ","63","0.0","0.0"," ","0.0","0.0","0.0","sa709013"
"Christopher Serritella","Phillies","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".215",".259",".345",".604",".264"," ","62","0.0","0.0"," ","0.0","0.0","0.0","sa599332"
"Michael Snyder","Angels","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".216",".261",".339",".601",".263"," ","68","0.0","0.0"," ","0.0","0.0","0.0","sa658566"
"Terrance Gore","Royals","7","6","1","0","0","0","1","1","0","2","0","0","0"," ",".233",".287",".300",".587",".262"," ","61","0.0","0.0"," ","-0.3","-0.1","0.0","13658"
"Edgar Quintero"," ","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".214",".270",".322",".591",".260"," ","60","0.0","0.0"," ","0.0","0.0","0.0","sa203952"
"Tyson Blaser","Yankees","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".219",".271",".316",".587",".260"," ","59","0.0","0.0"," ","0.0","0.0","0.0","sa546852"
"Guilder Rodriguez","Rangers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".235",".293",".283",".576",".259"," ","54","0.0","0.0"," ","-0.1","0.0","0.0","3412"
"Alex Lavisky","Indians","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".215",".262",".326",".588",".259"," ","60","0.0","0.0"," ","0.0","0.0","0.0","sa548434"
"Chase Mcdonald","Astros","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".200",".253",".334",".588",".258"," ","59","0.0","0.0"," ","0.0","0.0","0.0","sa706987"
"Zane Evans","Royals","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".224",".259",".331",".590",".258"," ","58","0.0","0.0"," ","0.0","0.0","0.0","sa708968"
"Rico Noel","Yankees","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".219",".287",".285",".572",".257"," ","57","0.0","0.0"," ","0.0","0.0","0.0","10585"
"Joe Jackson","Rangers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".222",".272",".307",".579",".257"," ","52","0.0","0.0"," ","-0.1","0.0","0.0","sa550375"
"Grant Debruin","Nationals","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".233",".269",".312",".582",".256"," ","57","0.0","0.0"," ","0.0","0.0","0.0","sa869551"
"Brett Harper"," ","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".200",".254",".331",".585",".256"," ","57","0.0","0.0"," ","-0.1","0.0","0.0","sa200434"
"Wilfredo Rodriguez","Rockies","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".234",".266",".314",".580",".255"," ","40","0.0","0.0"," ","-0.1","0.0","0.0","sa658032"
"Christian Quintero"," ","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".222",".272",".304",".575",".255"," ","56","0.0","0.0"," ","-0.1","0.0","0.0","sa208112"
"Roberto Saucedo"," ","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".203",".258",".319",".577",".254"," ","56","0.0","0.0"," ","-0.1","0.0","0.0","sa206052"
"Matthew Oberste","Mets","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".218",".256",".317",".573",".252"," ","60","0.0","0.0"," ","0.0","0.0","0.0","sa737845"
"Mickey Wiswall","Mariners","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".209",".247",".328",".575",".251"," ","58","0.0","0.0"," ","0.0","0.0","0.0","sa526505"
"Jesus Valenzuela"," ","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".206",".267",".291",".559",".250"," ","53","0.0","0.0"," ","-0.1","0.0","0.0","sa592343"
"Justin O'Conner","Rays","12","12","2","1","0","0","1","1","0","3","0","0","0"," ",".213",".243",".332",".575",".250"," ","57","0.0","0.0"," ","-0.6","0.3","0.0","sa548314"
