"Name","Team","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Daniel Dorn","Diamondbacks","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".257",".312",".419",".731",".317"," ","95","0.0","0.0"," ","0.0","0.0","0.0","1050"
"Justin Smoak","Blue Jays","297","263","61","12","1","11","34","36","29","72","2","1","1"," ",".233",".312",".414",".726",".316"," ","98","-1.3","1.3"," ","-2.1","-4.8","0.3","9054"
"Christian Walker","Orioles","7","6","2","0","0","0","1","1","0","2","0","0","0"," ",".252",".308",".420",".728",".315"," ","96","0.0","0.0"," ","0.0","-0.1","0.0","13419"
"Mike Carp","Rangers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".245",".314",".406",".721",".315"," ","92","0.0","0.0"," ","0.0","0.0","0.0","7480"
"Chris Parmelee"," ","145","131","33","7","0","4","15","17","11","33","1","1","1"," ",".251",".314",".410",".724",".314"," ","97","-0.2","0.8"," ","-0.6","-2.1","0.2","2554"
"C.J. Cron","Angels","459","428","111","21","1","17","50","59","20","90","5","3","2"," ",".259",".298",".432",".730",".314"," ","103","-0.8","-1.3"," ","0.7","-11.6","0.4","12546"
"Logan Morrison","Rays","456","404","97","18","2","15","50","52","42","73","4","6","4"," ",".240",".316",".410",".725",".314"," ","101","-0.8","-0.5"," ","-0.3","-12.1","0.3","9205"
"Garrett Jones","Yankees","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".242",".297",".431",".729",".314"," ","96","0.0","0.0"," ","0.0","0.0","0.0","2714"
"Tyler Moore","Nationals","180","163","40","9","0","6","19","22","13","45","1","1","1"," ",".247",".306",".421",".727",".314"," ","96","-0.1","-0.3"," ","-0.9","-4.5","0.0","7244"
"Ben Paulsen","Rockies","348","318","80","16","3","11","37","42","24","91","2","2","2"," ",".252",".306",".421",".726",".314"," ","80","0.0","1.5"," ","-8.1","-5.6","-0.3","9741"
"Andy Wilkins","Brewers","20","18","4","1","0","1","2","2","1","5","0","0","0"," ",".244",".297",".430",".727",".312"," ","92","0.0","0.1"," ","-0.2","-0.3","0.0","11251"
"Darin Ruf","Phillies","324","292","71","15","0","11","32","38","24","80","5","1","1"," ",".242",".308",".407",".714",".312"," ","95","-0.6","-0.9"," ","-2.5","-6.8","0.1","9929"
"Adam LaRoche","White Sox","403","350","78","15","1","15","45","48","47","98","3","1","1"," ",".223",".317",".394",".711",".311"," ","94","-1.5","0.2"," ","-4.1","-10.0","-0.1","1904"
"Joey Terdoslavich","Braves","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".250",".314",".405",".719",".310"," ","96","0.0","0.0"," ","0.0","0.0","0.0","10593"
"Matthew Clark","Brewers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".244",".306",".414",".721",".310"," ","91","0.0","0.0"," ","0.0","0.0","0.0","8793"
"Ryan Wheeler","Rockies","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".267",".305",".407",".712",".309"," ","77","0.0","0.0"," ","0.0","0.0","0.0","9312"
"Brett Wallace","Padres","179","162","40","7","0","6","18","20","12","51","2","1","0"," ",".248",".307",".403",".710",".308"," ","98","-0.4","-1.7"," ","-0.8","-4.5","0.0","8434"
"Michael Morse","Pirates","269","244","60","12","1","8","26","31","18","73","3","1","0"," ",".247",".305",".401",".706",".308"," ","97","-1.6","-0.4"," ","-2.6","-6.8","-0.1","3035"
"Allan Dykstra","Rays","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".218",".329",".360",".689",".307"," ","96","0.0","0.0"," ","0.0","0.0","0.0","9113"
"Brad Snyder","Rangers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".245",".298",".411",".708",".307"," ","87","0.0","0.0"," ","0.0","0.0","0.0","6052"
"James Loney","Rays","320","294","80","15","0","5","31","32","21","39","2","2","1"," ",".273",".322",".381",".703",".306"," ","95","-1.6","2.3"," ","-3.4","-4.1","0.3","4556"
"Nick Evans","Diamondbacks","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".252",".306",".395",".701",".306"," ","87","0.0","0.0"," ","0.0","0.0","0.0","7595"
"Juan Francisco","Blue Jays","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".225",".288",".417",".705",".304"," ","89","0.0","0.0"," ","0.0","0.0","0.0","6978"
"Carlos Pena","Rangers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".228",".308",".389",".696",".304"," ","85","0.0","0.0"," ","0.0","0.0","0.0","934"
"Ryan Howard","Phillies","466","423","97","19","1","19","47","58","35","133","4","1","0"," ",".228",".291",".412",".703",".303"," ","89","-2.4","-4.4"," ","-8.2","-14.1","-0.8","2154"
"Neftali Soto","Reds","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".249",".299",".398",".697",".302"," ","87","0.0","0.0"," ","0.0","0.0","0.0","5663"
"Josh Satin","Mets","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".242",".323",".360",".683",".302"," ","94","0.0","0.0"," ","0.0","0.0","0.0","6788"
"Jake Goebbert","Pirates","13","12","3","1","0","0","1","1","1","3","0","0","0"," ",".240",".317",".369",".687",".302"," ","93","0.0","-0.1"," ","-0.1","-0.2","0.0","9431"
"Daric Barton","Athletics","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".240",".327",".353",".680",".301"," ","91","0.0","0.0"," ","0.0","0.0","0.0","5928"
"Marc Krauss","Tigers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".231",".311",".376",".687",".301"," ","87","0.0","0.0"," ","0.0","0.0","0.0","7577"
"Jesus Aguilar","Indians","40","36","9","2","0","1","4","4","3","9","0","0","0"," ",".244",".305",".391",".696",".301"," ","89","0.0","0.1"," ","-0.5","-0.9","0.0","11342"
"Efren Navarro","Orioles","66","60","16","3","0","1","7","6","5","13","0","1","0"," ",".263",".320",".364",".684",".300"," ","85","0.0","0.0"," ","-1.1","-1.9","-0.1","9854"
"Matt Duffy","Astros","56","51","13","2","0","1","6","6","3","12","1","0","0"," ",".248",".299",".387",".686",".300"," ","87","0.0","-0.3"," ","-0.8","0.0","0.1","12181"
"Nick Swisher","Braves","224","196","44","9","0","6","22","22","24","55","2","1","0"," ",".225",".312",".363",".675",".299"," ","88","-0.6","-1.0"," ","-3.6","-5.3","-0.2","4599"
"Adam Dunn","Athletics","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".205",".306",".375",".681",".299"," ","90","0.0","0.0"," ","0.0","0.0","0.0","319"
"Gaby Sanchez","Mariners","7","6","1","0","0","0","1","1","1","1","0","0","0"," ",".231",".304",".375",".679",".299"," ","91","0.0","0.0"," ","-0.1","-0.1","0.0","3361"
"Dan Johnson","Cardinals","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".222",".309",".368",".677",".298"," ","88","0.0","0.0"," ","0.0","0.0","0.0","2167"
"Xavier Scruggs","Cardinals","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".228",".302",".371",".674",".297"," ","87","0.0","0.0"," ","0.0","0.0","0.0","7409"
"Nate Freiman","Athletics","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".241",".295",".384",".679",".296"," ","88","0.0","0.0"," ","0.0","0.0","0.0","6582"
"Richie Shaffer","Rays","99","89","19","4","0","3","10","11","8","28","1","1","0"," ",".217",".289",".388",".676",".294"," ","87","0.1","0.2"," ","-1.4","-1.1","0.1","13271"
"Jesus Guzman","Astros","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".232",".300",".368",".668",".293"," ","83","0.0","0.0"," ","0.0","0.0","0.0","3118"
"Jeff Baker"," ","100","91","21","4","1","3","10","11","7","27","1","1","0"," ",".233",".291",".381",".672",".293"," ","83","-0.4","-0.5"," ","-2.4","-2.5","-0.2","2073"
"Travis Ishikawa","Pirates","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".239",".299",".366",".666",".292"," ","86","0.0","0.0"," ","0.0","0.0","0.0","4793"
"Jefry Marte","Angels","33","30","7","1","0","1","3","4","2","6","0","0","0"," ",".236",".290",".375",".665",".291"," ","87","0.0","0.1"," ","-0.5","-0.6","0.0","5107"
"Max Muncy","Athletics","53","47","11","2","0","1","5","5","5","12","0","0","0"," ",".229",".305",".346",".651",".288"," ","82","0.0","-0.7"," ","-1.1","-0.5","0.0","13301"
"Adam Rosales","Rangers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".238",".295",".356",".652",".287"," ","73","0.0","0.0"," ","0.0","0.0","0.0","9682"
"Paul Konerko","White Sox","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".236",".291",".358",".650",".286"," ","77","0.0","0.0"," ","0.0","0.0","0.0","242"
"Sean Rodriguez","Pirates","260","241","57","13","1","6","23","27","12","64","4","3","2"," ",".236",".281",".372",".653",".285"," ","81","0.0","-1.1"," ","-5.8","-1.8","0.1","6589"
"Tommy Medica","Padres","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".227",".280",".371",".651",".284"," ","81","0.0","0.0"," ","0.0","0.0","0.0","11147"
"Lyle Overbay","Brewers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".228",".295",".348",".644",".284"," ","73","0.0","0.0"," ","0.0","0.0","0.0","1617"
"Kevin Frandsen","Giants","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".259",".300",".339",".639",".282"," ","82","0.0","0.0"," ","0.0","0.0","0.0","7528"
"Jamie Romak","Diamondbacks","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".214",".271",".367",".638",".279"," ","69","0.0","0.0"," ","0.0","0.0","0.0","5552"
"Cody Decker","Padres","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".202",".266",".363",".629",".276"," ","76","0.0","0.0"," ","0.0","0.0","0.0","9665"
"Greg Dobbs","Nationals","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".246",".287",".344",".631",".275"," ","70","0.0","0.0"," ","0.0","0.0","0.0","2158"
"Alex Gonzalez","Tigers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".239",".280",".348",".628",".275"," ","69","0.0","0.0"," ","0.0","0.0","0.0","520"
"Chris Valaika","Cubs","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".233",".281",".337",".618",".271"," ","68","0.0","0.0"," ","0.0","0.0","0.0","1165"
"Jordan Pacheco","Diamondbacks","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".232",".284",".327",".611",".270"," ","63","0.0","0.0"," ","0.0","0.0","0.0","2677"
"Jack Hannahan","Reds","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".216",".277",".319",".596",".264"," ","61","0.0","0.0"," ","0.0","0.0","0.0","3692"
"Ian Stewart","Angels","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".179",".252",".305",".558",".248"," ","57","0.0","0.0"," ","-0.1","0.0","0.0","5950"
