"Name","Team","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","playerid"
"Ryan Lavarnway","Braves","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".238",".308",".365",".673",".296"," ","86","0.0","0.0"," ","0.0","0.0","0.0","8879"
"Dustin Garneau","Rockies","152","138","33","7","0","4","15","16","10","25","2","1","1"," ",".238",".296",".384",".680",".295"," ","67","0.0","0.3"," ","-5.8","3.4","0.2","9433"
"Andrew Susac","Giants","169","150","34","7","1","4","15","17","15","42","2","1","0"," ",".229",".304",".364",".668",".295"," ","91","0.0","-0.5"," ","-1.7","3.1","0.7","13132"
"A.J. Pierzynski","Braves","322","301","79","14","1","7","28","33","13","42","4","1","1"," ",".261",".298",".378",".676",".294"," ","84","-2.0","-0.4"," ","-7.9","6.0","0.9","746"
"Carlos Ruiz","Phillies","230","205","50","11","1","3","19","20","18","33","4","1","1"," ",".243",".313",".349",".663",".293"," ","82","-0.7","0.3"," ","-5.4","5.1","0.7","2579"
"Jason Castro","Astros","360","320","72","17","1","10","38","37","31","103","3","2","1"," ",".224",".296",".373",".669",".293"," ","83","0.3","0.1"," ","-6.9","7.7","1.3","8722"
"Erik Kratz","Phillies","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".230",".284",".390",".674",".292"," ","82","0.0","0.0"," ","0.0","0.0","0.0","4403"
"Charlie Cutler","Angels","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".254",".314",".343",".657",".291"," ","87","0.0","0.0"," ","0.0","0.0","0.0","sa454748"
"George Kottaras","Blue Jays","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".201",".299",".360",".659",".291"," ","80","0.0","0.0"," ","0.0","0.0","0.0","5506"
"Ryan Hanigan","Red Sox","148","130","31","6","0","2","15","13","14","26","2","1","1"," ",".238",".318",".331",".650",".291"," ","77","-0.3","1.6"," ","-4.3","4.8","0.6","4952"
"Zane Chavez","Orioles","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".243",".295",".367",".663",".290"," ","79","0.0","0.0"," ","0.0","0.0","0.0","sa628321"
"Kurt Suzuki","Twins","300","273","69","15","0","4","29","28","19","36","4","1","1"," ",".253",".308",".355",".663",".290"," ","80","-0.8","-0.6"," ","-7.6","5.8","0.9","8259"
"Curt Casali","Rays","235","208","46","9","0","7","23","24","20","59","3","1","1"," ",".219",".293",".361",".654",".289"," ","84","-0.1","0.2"," ","-4.5","5.2","0.9","12510"
"Tony Sanchez","Pirates","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".231",".302",".353",".655",".289"," ","84","0.0","0.0"," ","0.0","0.0","0.0","6178"
"James McCann","Tigers","354","331","84","17","2","6","34","36","14","71","4","2","1"," ",".255",".291",".371",".663",".289"," ","79","-0.8","3.6"," ","-9.4","11.0","1.4","12859"
"Chris Gimenez","Rangers","130","117","27","5","0","2","13","13","11","29","1","1","1"," ",".235",".301",".348",".650",".287"," ","73","-0.1","-0.5"," ","-4.1","2.2","0.3","7324"
"Kevan Smith","White Sox","12","11","3","0","0","0","1","1","1","3","0","0","0"," ",".237",".295",".360",".654",".287"," ","78","0.0","0.0"," ","-0.3","0.3","0.0","sa599392"
"Spencer Kieboom","Nationals","6","6","1","0","0","0","1","1","0","1","0","0","0"," ",".246",".300",".351",".651",".287"," ","78","0.0","0.0"," ","-0.2","0.1","0.0","sa621637"
"Hank Conger","Rays","203","182","40","8","0","6","19","20","16","50","2","1","1"," ",".220",".290",".360",".650",".286"," ","82","-0.4","-1.8"," ","-4.6","2.4","0.5","2505"
"Andrew Knapp","Phillies","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".235",".295",".356",".651",".286"," ","78","0.0","0.0"," ","0.0","0.0","0.0","sa550140"
"Brett Nicholas","Rangers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".246",".290",".366",".657",".286"," ","73","0.0","0.0"," ","0.0","0.0","0.0","sa548340"
"David Freitas","Orioles","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".234",".291",".358",".648",".285"," ","75","0.0","0.0"," ","0.0","0.0","0.0","sa549143"
"Caleb Joseph","Orioles","189","173","40","7","0","5","19","20","12","40","2","1","1"," ",".232",".286",".368",".655",".285"," ","75","-0.2","1.4"," ","-5.7","5.4","0.6","7087"
"Tommy Joseph","Phillies","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".231",".273",".383",".656",".285"," ","77","0.0","0.0"," ","0.0","0.0","0.0","sa500806"
"Chun-Hsiu Chen","Indians","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".229",".294",".355",".649",".285"," ","78","0.0","0.0"," ","0.0","0.0","0.0","sa455954"
"Mike Blanke","Red Sox","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".232",".288",".360",".647",".284"," ","72","0.0","0.0"," ","0.0","0.0","0.0","sa549125"
"Edward Easley","Cardinals","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".242",".302",".339",".641",".283"," ","78","0.0","0.0"," ","0.0","0.0","0.0","2487"
"Cam Maron","Rangers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".239",".306",".329",".635",".283"," ","70","0.0","0.0"," ","0.0","0.0","0.0","sa503041"
"Michael Ramirez","Rockies","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".245",".283",".367",".650",".283"," ","59","0.0","0.0"," ","0.0","0.0","0.0","sa506305"
"Jan Vazquez","Rockies","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".230",".293",".351",".644",".283"," ","59","0.0","0.0"," ","0.0","0.0","0.0","sa501536"
"J.T. Wise","Rangers","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".227",".284",".362",".646",".283"," ","70","0.0","0.0"," ","0.0","0.0","0.0","sa505632"
"Austin Romine","Yankees","18","17","4","1","0","0","2","2","1","3","0","0","0"," ",".239",".287",".361",".647",".283"," ","75","0.0","0.0"," ","-0.5","0.4","0.0","5491"
"Daniel Butler","Red Sox","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".231",".294",".347",".641",".283"," ","71","0.0","0.0"," ","0.0","0.0","0.0","9968"
"Chad Tromp","Reds","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".241",".285",".362",".647",".282"," ","73","0.0","0.0"," ","0.0","0.0","0.0","sa746793"
"Allan De San Miguel","Twins","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".228",".288",".354",".642",".282"," ","75","0.0","0.0"," ","0.0","0.0","0.0","sa295122"
"Taylor Teagarden","Cubs","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".223",".285",".360",".645",".282"," ","75","0.0","0.0"," ","0.0","0.0","0.0","5199"
"Eric Fryer","Twins","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".236",".302",".332",".633",".282"," ","75","0.0","0.0"," ","0.0","0.0","0.0","8145"
"Brayan Pena","Cardinals","138","127","32","6","0","1","12","12","8","15","1","1","1"," ",".254",".302",".338",".640",".282"," ","77","-1.0","0.0"," ","-4.7","2.9","0.3","3231"
"Cole Leonida","Nationals","1","1","0","0","0","0","0","0","0","0","0","0","0"," ",".223",".288",".351",".639",".282"," ","75","0.0","0.0"," ","0.0","0.0","0.0","sa526399"
"Jorge Alfaro","Phillies","31","29","7","1","0","1","3","3","1","8","1","0","0"," ",".232",".276",".371",".647",".282"," ","75","0.0","0.0"," ","-0.9","0.6","0.1","sa551307"
