"","name","Team","position","marginal.total.points","dollar.value","status"
"307","Rene Garcia","Phillies","catcher",-0.14,-0.38,""
"308","Joe Smith","Angels","pitcher",-0.14,-0.38,""
"309","C.J. Wilson","Angels","pitcher",-0.14,-0.38,""
"310","Chris Parmelee"," ","outfield",-0.14,-0.39,""
"311","Daniel Robertson","Rays","shortstop",-0.14,-0.39,""
"312","Tony Cingrani","Reds","pitcher",-0.14,-0.39,""
"313","A.J. Burnett","Pirates","pitcher",-0.15,-0.43,""
"314","Tyler Holt","Reds","outfield",-0.16,-0.44,""
"315","John Hicks","Twins","catcher",-0.17,-0.46,""
"316","Addison Reed","Mets","pitcher",-0.17,-0.46,""
"317","Nick Buss"," ","outfield",-0.19,-0.51,""
"318","Johan Mieses","Dodgers","outfield",-0.2,-0.55,""
"319","Austin Voth","Nationals","pitcher",-0.21,-0.59,""
"320","Ali Castillo","Yankees","shortstop",-0.22,-0.6,""
"321","Jett Bandy","Angels","catcher",-0.22,-0.6,""
"322","Chris Hatcher","Dodgers","pitcher",-0.22,-0.61,""
"323","Chris Denorfia"," ","outfield",-0.23,-0.64,""
"324","Chase Anderson","Brewers","pitcher",-0.24,-0.65,""
"325","Henry Urrutia","Orioles","outfield",-0.24,-0.66,""
"326","Elian Herrera","Brewers","third_base",-0.24,-0.66,""
"327","Logan Verrett","Mets","pitcher",-0.25,-0.68,""
"328","Hunter Cole","Giants","outfield",-0.25,-0.69,""
"329","Jake Cave","Reds","outfield",-0.26,-0.71,""
"330","Kelly Johnson","Braves","third_base",-0.26,-0.72,""
"331","Michael Choice","Rangers","outfield",-0.27,-0.73,""
"332","Aaron Blair","Braves","pitcher",-0.26,-0.73,""
"333","Carlos Rivero","Red Sox","third_base",-0.28,-0.77,""
"334","Christian Vazquez","Red Sox","catcher",-0.28,-0.77,""
"335","Conor Gillaspie","Angels","third_base",-0.28,-0.78,""
"336","Shane Victorino","Angels","outfield",-0.31,-0.84,""
"337","Jake Elmore","Rays","shortstop",-0.32,-0.87,""
"338","Jon Jay","Padres","outfield",-0.33,-0.91,""
"339","Jason Bourgeois","Reds","outfield",-0.33,-0.91,""
"340","Jason Martinson","Nationals","shortstop",-0.33,-0.92,""
"341","Kaleb Cowart","Angels","third_base",-0.34,-0.92,""
"342","Miguel Rojas","Marlins","shortstop",-0.36,-0.98,""
"343","Tyler Henson","Phillies","outfield",-0.36,-0.99,""
"344","Mike Morin","Angels","pitcher",-0.36,-0.99,""
"345","Max Stassi","Astros","catcher",-0.36,-1,""
"346","Wade Miley","Mariners","pitcher",-0.36,-1,""
"347","Carlos Villanueva","Padres","pitcher",-0.36,-1,""
"348","George Kontos","Giants","pitcher",-0.38,-1.04,""
"349","Shawn Zarraga","Dodgers","catcher",-0.39,-1.07,""
"350","Matt Long","Brewers","outfield",-0.39,-1.08,""
"351","Jeff Kobernus","Nationals","outfield",-0.4,-1.09,""
"352","Allen Craig","Red Sox","outfield",-0.41,-1.12,""
"353","Jacob Hannemann","Cubs","outfield",-0.41,-1.14,""
"354","Adam LaRoche","White Sox","first_base",-0.41,-1.14,""
"355","Steven Brault","Pirates","pitcher",-0.42,-1.16,""
"356","Ryan Goins","Blue Jays","shortstop",-0.42,-1.17,""
"357","Jake Goebbert","Pirates","first_base",-0.44,-1.2,""
"358","Gordon Beckham","Braves","third_base",-0.45,-1.24,""
"359","Corban Joseph"," ","second_base",-0.45,-1.24,""
"360","Rico Noel","Yankees","outfield",-0.46,-1.28,""
"361","Christian Marrero","White Sox","outfield",-0.48,-1.31,""
"362","Silvino Bracho","Diamondbacks","pitcher",-0.48,-1.33,""
"363","Tucker Barnhart","Reds","catcher",-0.49,-1.35,""
"364","Jon Niese","Pirates","pitcher",-0.49,-1.35,""
"365","Jacob Faria","Rays","pitcher",-0.49,-1.35,""
"366","Emilio Bonifacio","Braves","second_base",-0.5,-1.38,""
"367","Jordan Pacheco","Diamondbacks","catcher",-0.51,-1.39,""
"368","Ryan Lollis","Giants","outfield",-0.51,-1.4,""
"369","Tim Federowicz","Dodgers","catcher",-0.51,-1.4,""
"370","Tyler Pastornicky","Braves","second_base",-0.51,-1.41,""
"371","Tom Koehler","Marlins","pitcher",-0.51,-1.41,""
"372","Greg Holland","Royals","pitcher",-0.51,-1.41,""
"373","Aaron Brooks","Athletics","pitcher",-0.51,-1.41,""
"374","Aaron Brooks","Athletics","pitcher",-0.51,-1.41,""
"375","Carlos Peguero","Red Sox","outfield",-0.51,-1.42,""
"376","Cole Gillespie","Marlins","outfield",-0.53,-1.45,""
"377","Justin Wilson","Tigers","pitcher",-0.53,-1.45,""
"378","Jered Weaver","Angels","pitcher",-0.53,-1.45,""
"379","Zach Putnam","White Sox","pitcher",-0.53,-1.45,""
"380","Mike Dunn","Marlins","pitcher",-0.53,-1.46,""
"381","Mark Buehrle"," ","pitcher",-0.53,-1.46,""
"382","David Adams"," ","third_base",-0.54,-1.49,""
"383","Brandon Nimmo","Mets","outfield",-0.55,-1.5,""
"384","Dayron Varona","Rays","outfield",-0.55,-1.51,""
"385","Zach Walters","Indians","dh",-0.55,-1.52,""
"386","Ichiro Suzuki","Marlins","outfield",-0.55,-1.53,""
"387","David Lough","Orioles","outfield",-0.56,-1.55,""
"388","Corey Knebel","Brewers","pitcher",-0.56,-1.55,""
"389","Carlos Torres","Mets","pitcher",-0.56,-1.55,""
"390","Pat Neshek","Astros","pitcher",-0.57,-1.56,""
"391","Chris Bassitt","Athletics","pitcher",-0.57,-1.57,""
"392","Domingo Leyba","Diamondbacks","shortstop",-0.58,-1.59,""
"393","Zack Thornton","Mets","pitcher",-0.58,-1.6,""
"394","Bryan Shaw","Indians","pitcher",-0.59,-1.62,""
"395","Jeff Locke","Pirates","pitcher",-0.59,-1.62,""
"396","Ruben Tejada","Mets","shortstop",-0.59,-1.63,""
"397","Andrew Romine","Tigers","third_base",-0.59,-1.63,""
"398","Raul Mondesi Jr."," ","outfield",-0.6,-1.65,""
"399","Tyler Heineman","Astros","catcher",-0.6,-1.66,""
"400","Drew Hutchison","Blue Jays","pitcher",-0.6,-1.66,""
"401","Chris Young","Red Sox","outfield",-0.61,-1.67,""
"402","Ian Miller","Mariners","outfield",-0.61,-1.67,""
"403","Ronny Rodriguez","Indians","shortstop",-0.61,-1.68,""
"404","Drew Stubbs","Rangers","outfield",-0.61,-1.68,""
"405","Chris Dominguez","Reds","outfield",-0.61,-1.68,""
"406","Alfredo Marte","Angels","outfield",-0.61,-1.69,""
"407","Carlos Triunfel","Dodgers","shortstop",-0.63,-1.73,""
"408","Engel Beltre"," ","outfield",-0.64,-1.75,""
"409","Carlos Perez","Angels","catcher",-0.64,-1.75,""
"410","Taylor Davis","Cubs","catcher",-0.64,-1.76,""
"411","Antonio Bastardo","Mets","pitcher",-0.64,-1.76,""
"412","Matthew Wisler","Braves","pitcher",-0.64,-1.76,""
"413","Junichi Tazawa","Red Sox","pitcher",-0.64,-1.77,""
"414","Justin O'Conner","Rays","catcher",-0.65,-1.78,""
"415","Rando Moreno","Giants","shortstop",-0.65,-1.78,""
"416","Jon Kemmer","Astros","outfield",-0.65,-1.79,""
"417","Kirk Nieuwenhuis","Brewers","outfield",-0.66,-1.81,""
"418","Mitchell Haniger","Diamondbacks","outfield",-0.66,-1.81,""
"419","Danny Espinosa","Nationals","second_base",-0.66,-1.82,""
"420","Darwin Barney","Blue Jays","second_base",-0.67,-1.83,""
"421","Chris Gimenez","Rangers","catcher",-0.67,-1.85,""
"422","Chris Curley","White Sox","shortstop",-0.68,-1.86,""
"423","Tommy Medica","Padres","first_base",-0.68,-1.87,""
"424","Juan Silva","Reds","outfield",-0.68,-1.87,""
"425","Juan Herrera","Cardinals","shortstop",-0.68,-1.88,""
"426","Brady Shoemaker","Marlins","outfield",-0.7,-1.91,""
"427","James Paxton","Mariners","pitcher",-0.71,-1.95,""
"428","Jeff Francis","Blue Jays","pitcher",-0.71,-1.95,""
"429","Blake Treinen","Nationals","pitcher",-0.71,-1.97,""
"430","Casey Fien","Twins","pitcher",-0.72,-1.99,""
"431","Bryan Holaday","Tigers","catcher",-0.73,-2,""
