"","name","Team","position","playerid","IP","ERA","WHIP","SV","W","K","marginal.total.points","dollar.value","status"
"482","Steve Delabar","Blue Jays","pitcher","11827",52,4.15,1.38,0,4,59,-1.94,-5.35,""
"483","Jonathan Aro","Mariners","pitcher","14699",77,4.09,1.32,0,3,67,-1.95,-5.38,""
"484","Jacob Barnes","Brewers","pitcher","sa579271",81,4.22,1.38,0,4,74,-1.96,-5.39,""
"485","Ryan Webb","Rays","pitcher","7474",61.3,3.82,1.29,1,3,41,-1.96,-5.39,""
"486","Adam Ottavino","Rockies","pitcher","1247",56.3,3.67,1.28,0,2,57,-1.96,-5.39,""
"487","Josh Osich","Giants","pitcher","11528",57.7,3.43,1.3,0,2,54,-1.96,-5.39,""
"488","John Church","Mets","pitcher","sa502177",64.3,4.06,1.31,0,4,48,-1.96,-5.4,""
"489","Burke Badenhop","Reds","pitcher","9736",62,3.63,1.26,0,3,39,-1.97,-5.41,""
"490","Ryan Vogelsong","Pirates","pitcher","1011",124,4.57,1.42,0,7,90,-1.97,-5.43,""
"491","Cody Hall","Diamondbacks","pitcher","12232",64.3,3.92,1.31,0,3,56,-1.97,-5.43,""
"492","Craig Stammen","Nationals","pitcher","7274",59,3.97,1.34,0,4,49,-1.98,-5.44,""
"493","Cory Rasmus","Angels","pitcher","2413",55.7,3.88,1.35,0,3,60,-1.98,-5.44,""
"494","Josh Martin","Padres","pitcher","sa599246",66,4.36,1.35,0,4,64,-1.98,-5.45,""
"495","Jenrry Mejia","Mets","pitcher","8476",37,3.16,1.22,0,2,42,-1.98,-5.45,""
"496","Marcos Mateo","Padres","pitcher","6869",44.7,3.43,1.25,0,2,47,-2,-5.5,""
"497","Erik Goeddel","Mets","pitcher","11712",58,3.72,1.28,0,2,56,-2,-5.51,""
"498","Luke Hochevar","Royals","pitcher","6943",45.3,3.77,1.24,1,2,43,-2,-5.52,"drafted"
"499","Akeel Morris","Mets","pitcher","12185",55.7,3.72,1.38,0,2,72,-2.01,-5.52,""
"500","Bruce Billings","Yankees","pitcher","3044",111.3,4.61,1.37,0,6,77,-2.01,-5.53,""
"501","Neftali Feliz","Pirates","pitcher","18",50.7,3.73,1.28,0,3,43,-2.02,-5.56,""
"502","Curtis Partch","Reds","pitcher","1333",60.3,3.58,1.33,0,2,60,-2.02,-5.56,""
"503","Jose Torres","Athletics","pitcher","sa597250",73,4.19,1.4,0,4,70,-2.02,-5.57,""
"504","Edubray Ramos","Phillies","pitcher","sa546466",53.7,4.02,1.27,0,3,48,-2.03,-5.58,""
"505","Austin Pruitt","Rays","pitcher","sa737920",123,4.54,1.36,0,6,76,-2.03,-5.58,""
"506","Yohan Pino","Royals","pitcher","6955",103,4.81,1.36,0,6,77,-2.03,-5.59,""
"507","Tim Stauffer","Mets","pitcher","6432",75,4.08,1.31,0,3,60,-2.03,-5.59,""
"508","Rob Wooten","Brewers","pitcher","8532",62.7,4.16,1.28,0,3,54,-2.03,-5.6,""
"509","Jeff Walters","Mets","pitcher","sa328221",35,3.6,1.2,0,3,32,-2.04,-5.63,""
"510","Chad Kuhl","Pirates","pitcher","sa737891",135.7,4.58,1.39,0,7,84,-2.04,-5.63,""
"511","Greg Mahle","Angels","pitcher","sa829310",51,3.88,1.29,0,3,46,-2.06,-5.66,""
"512","Brandon Morrow","Padres","pitcher","9346",52,3.63,1.27,0,2,49,-2.07,-5.71,""
"513","Caleb Thielbar","Twins","pitcher","10078",53.7,3.69,1.32,0,3,45,-2.08,-5.73,""
