"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Jonathan Villar","Brewers","130","496","446","107","18","6","10","59","46","38","136","3","33","10",".240",".303",".374",".677",".297","-6.0","2.5","0.7","10071"
"Orlando Arcia","Brewers","135","579","543","140","31","4","10","64","61","29","102","2","20","9",".258",".297",".385",".682",".296","7.0","0.2","2.0","sa596917"
"Christian Colon","Royals","109","434","396","106","16","1","5","44","33","27","46","3","11","4",".268",".318",".351",".669",".296","-1.0","0.4","1.1","11145"
"Elvis Andrus","Rangers","156","672","604","161","30","3","5","73","57","47","89","3","27","10",".267",".319",".351",".670",".295","-1.0","1.1","1.4","8709"
"Ketel Marte","Mariners","134","585","540","144","26","5","6","64","47","35","92","0","24","8",".267",".308",".367",".675",".295","-1.0","1.4","1.9","13613"
"Alen Hanson","Pirates","122","547","506","124","20","13","11","58","59","28","107","1","23","10",".245",".284",".401",".686",".295","4.0","0.5","1.7","sa547735"
"Alex Bregman","Astros","121","502","467","123","19","4","7","52","43","28","53","3","10","6",".263",".307",".366",".674",".295","-3.0","-0.6","1.0","sa659419"
"Eduardo Nunez","Twins","85","269","250","65","12","3","4","30","25","13","39","1","11","4",".260",".297",".380",".677",".294","0.0","0.5","0.8","6848"
"Jose Iglesias","Tigers","117","438","400","110","14","2","3","42","28","22","55","7","9","6",".275",".322",".343",".664",".294","3.0","-0.8","1.3","10231"
"Brendan Harris"," ","46","168","147","34","6","1","3","18","14","16","28","2","0","1",".231",".311",".347",".658",".293","-3.0","-0.5","0.0","2178"
"Gavin Cecchini","Mets","124","538","495","124","24","4","8","61","52","37","95","2","4","4",".251",".303",".364",".667",".293","-3.0","-1.0","1.2","sa657876"
"Aledmys Diaz","Cardinals","130","514","478","118","26","3","11","56","54","24","102","6","9","6",".247",".290",".383",".672",".292","0.0","-0.8","1.2","sa803159"
"Greg Garcia","Cardinals","130","463","407","97","20","3","4","47","34","42","91","8","10","3",".238",".321",".332",".653",".292","3.0","0.6","1.5","10951"
"Stephen Drew","Nationals","111","394","352","77","19","3","10","36","42","36","80","1","1","1",".219",".291",".375",".666",".290","0.0","-0.3","0.4","4251"
"Andrelton Simmons","Angels","147","590","545","140","23","4","8","61","54","36","57","4","5","3",".257",".306",".358",".664",".290","16.0","-0.5","3.4","10847"
